slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
mintswap,128253.0,1158.0,0.9909709714392646,-0.2409954158480681,-0.3396011396011396,2.172617798505268,1557,778,1559,dead,MintSwap,Farm,True
sierra,389656.0,6709.0,0.9827822489580553,0.0022404779686333084,0.007356252814892659,1.883736891670408,641,288,604,dead,Sierra,Reserve Currency,True
piratedao,349160.0,796.0,0.997720242868599,-0.014833127317676144,-0.014833127317676144,4.6421415103494414,1520,616,1522,dead,PirateDAO,Reserve Currency,True
swift-finance,1302919.0,765.0,0.9994128568237933,-0.0103359173126615,-0.019206145966709345,4.530300131534154,1569,673,1571,dead,Swift Finance,Yield,True
north-pole,160730.0,689.0,0.9957133080321036,-0.1686746987951807,-0.24175824175824176,3.7147396300482476,1393,700,1395,dead,North Pole,CDP,True
hot-takes,17266.0,563.0,0.967392563419437,-0.29234629861982436,-0.4470588235294118,1.0615867254640357,838,440,840,dead,Hot Takes,SoFi,True
grave-finance,17982599.0,383.0,0.9999787016326172,-0.09004739336492891,-0.17419354838709677,34.907933042029136,1455,733,1457,dead,Grave Finance,Algo-Stables,True
onavax,943087.0,331.0,0.9996490249574005,-0.3794392523364486,-0.12169312169312169,2.5498015503751352,1316,657,1318,dead,onAVAX,Dexs,True
spicy-dao,95061.0,0.0,1.0,0.0,0.0,15.94487260197277,1523,17,1525,dead,Spicy DAO,Reserve Currency,True
avaware,7746.0,0.0,1.0,0.0,0.0,2.4329102190391754,1425,215,1421,dead,Avaware,Yield,True
